nr S.	scalenie	znaczenie 1	znaczenie 2	znaczenie 3	POCHODZENIE	CZĘSTOŚĆ WYSTĄPIEŃ	WYSTĄPIENIA
G11	G11 Ἀβραάμ [Abraam]; rzeczownik	Abraham, patriarcha			 pochodzenia hebr. (H85)	69	Mt 1:1; Mt 1:2; Mt 1:17; Mt 3:9; Mt 8:11; Mt 22:32; Mk 12:26; Łk 1:55; Łk 1:73; Łk 3:8; Łk 3:34; Łk 13:16; Łk 13:28; Łk 16:22; Łk 16:23; Łk 16:24; Łk 16:25; Łk 16:29; Łk 16:30; Łk 19:9; Łk 20:37; J 8:33; J 8:37; J 8:39; J 8:40; J 8:52; J 8:53; J 8:56; J 8:57; J 8:58; Dz 3:13; Dz 3:25; Dz 7:2; Dz 7:16; Dz 7:17; Dz 7:32; Dz 13:26; Rz 4:1; Rz 4:2; Rz 4:3; Rz 4:9; Rz 4:12; Rz 4:13; Rz 4:16; Rz 9:7; Rz 11:1; 2Kor 11:22; Ga 3:6; Ga 3:7; Ga 3:8; Ga 3:9; Ga 3:14; Ga 3:16; Ga 3:18; Ga 3:29; Ga 4:22; Hbr 2:16; Hbr 6:13; Hbr 7:1; Hbr 7:2; Hbr 7:4; Hbr 7:5; Hbr 7:6; Hbr 7:9; Hbr 11:8; Hbr 11:17; Jk 2:21; Jk 2:23; 1P 3:6
G12	G12 ἄβυσσος [abyssos]; rzeczownik	otchłań (dosł.: nie posiadający głębi, nie posiadający dna)	głębia, przepaść	świat podziemny	 od G1 (jako partykuła przecząca) i odmiany G1037	9	Łk 8:31; Rz 10:7; Ap 9:1; Ap 9:2; Ap 9:11; Ap 11:7; Ap 17:8; Ap 20:1; Ap 20:3
G13	G13 Ἄγαβος [Agabos]; rzeczownik	Agabos, prorok z Antiochii			 pochodzenia hebr. (porównaj H2285)	2	Dz 11:28; Dz 21:10
G14	G14 ἀγαθοεργέω [agathoergeō]; czasownik	dobrze czynić			 od G18 i G2041	1	1Tm 6:18
G15	G15 ἀγαθοποιέω [agathopoieō]; czasownik	dobrze czynić (komuś)	czynić coś dobrym	postępować słusznie	 od G17	10	Mk 3:4; Łk 6:9; Łk 6:33; Łk 6:35; Dz 14:17; 1P 2:15; 1P 2:20; 1P 3:6; 1P 3:17; 3J 1:11
G16	G16 ἀγαθοποιΐα [agathopoiïa]; rzeczownik	czynienie dobrze			 od G17	1	1P 4:19
G17	G17 ἀγαθοποιός [agathopoios]; przymiotnik	czyniący dobrze	dobroczynny		 od G18 i G4160	1	1P 2:14
G18	G18 ἀγαθός [agathos]; przymiotnik	dobry	dobrze urodzony, szlachetny, arystokrata	mężny, dzielny; zdatny, zdolny; przydatny, użyteczny	 pierwotne słowo	90	Mt 5:45; Mt 7:11; Mt 7:17; Mt 7:18; Mt 12:34; Mt 12:35; Mt 19:16; Mt 19:17; Mt 20:15; Mt 22:10; Mt 25:21; Mt 25:23; Mk 10:17; Mk 10:18; Łk 1:53; Łk 6:45; Łk 8:8; Łk 8:15; Łk 10:42; Łk 11:13; Łk 12:18; Łk 12:19; Łk 16:25; Łk 18:18; Łk 18:19; Łk 19:17; Łk 23:50; J 1:46; J 5:29; J 7:12; Dz 9:36; Dz 11:24; Dz 23:1; Rz 2:7; Rz 2:10; Rz 3:8; Rz 5:7; Rz 7:12; Rz 7:13; Rz 7:18; Rz 7:19; Rz 8:28; Rz 9:11; Rz 10:15; Rz 12:2; Rz 12:9; Rz 12:21; Rz 13:3; Rz 13:4; Rz 14:16; Rz 15:2; Rz 16:19; 2Kor 5:10; 2Kor 9:8; Ga 6:6; Ga 6:10; Ef 2:10; Ef 4:28; Ef 4:29; Ef 6:8; Flp 1:6; Kol 1:10; 1Tes 3:6; 1Tes 5:15; 2Tes 2:16; 2Tes 2:17; 1Tm 1:5; 1Tm 1:19; 1Tm 2:10; 1Tm 5:10; 2Tm 2:21; 2Tm 3:17; Tt 1:16; Tt 2:5; Tt 2:10; Tt 3:1; Flm 1:6; Flm 1:14; Hbr 9:11; Hbr 10:1; Hbr 13:21; Jk 1:17; Jk 3:17; 1P 2:18; 1P 3:10; 1P 3:11; 1P 3:13; 1P 3:16; 1P 3:21; 3J 1:11
G19	G19 ἀγαθωσύνη [agathōsynē]; rzeczownik	dobroć			 od G18	4	Rz 15:14; Ga 5:22; Ef 5:9; 2Tes 1:11
G20	G20 ἀγαλλίασις [agalliasis]; rzeczownik	wielka uciecha, wielka radość	uniesienie		 od G21	5	Łk 1:14; Łk 1:44; Dz 2:46; Hbr 1:9; Jud 1:24
G21	G21 ἀγαλλιάω [agalliaō]; czasownik	niezmiernie się ucieszyć				11	Mt 5:12; Łk 1:47; Łk 10:21; J 5:35; J 8:56; Dz 2:26; Dz 16:34; 1P 1:6; 1P 1:8; 1P 4:13; Ap 19:7
G22	G22 ἄγαμος [agamos]; rzeczownik	nieżonaty, niezamężna				4	1Kor 7:8; 1Kor 7:11; 1Kor 7:32; 1Kor 7:34
G23	G23 ἀγανακτέω [aganakteō]; czasownik	być oburzonym, być wzburzonym				7	Mt 20:24; Mt 21:15; Mt 26:8; Mk 10:14; Mk 10:41; Mk 14:4; Łk 13:14
G24	G24 ἀγανάκτησις [aganaktēsis]; rzeczownik	oburzenie, gniew	fizyczny ból			1	2Kor 7:11
G25	G25 ἀγαπάω [agapaō]; czasownik	miłować	okazywać serdeczność	pieścić; cieszyć się		109	Mt 5:43; Mt 5:44; Mt 5:46; Mt 6:24; Mt 19:19; Mt 22:37; Mt 22:39; Mk 10:21; Mk 12:30; Mk 12:31; Mk 12:33; Łk 6:27; Łk 6:32; Łk 6:35; Łk 7:5; Łk 7:42; Łk 7:47; Łk 10:27; Łk 11:43; Łk 16:13; J 3:16; J 3:19; J 3:35; J 8:42; J 10:17; J 11:5; J 12:43; J 13:1; J 13:23; J 13:34; J 14:15; J 14:21; J 14:23; J 14:24; J 14:28; J 14:31; J 15:9; J 15:12; J 15:17; J 17:23; J 17:24; J 17:26; J 19:26; J 21:7; J 21:15; J 21:16; J 21:20; Rz 8:28; Rz 8:37; Rz 9:13; Rz 9:25; Rz 13:8; Rz 13:9; 1Kor 2:9; 1Kor 8:3; 2Kor 9:7; 2Kor 11:11; 2Kor 12:15; Ga 2:20; Ga 5:14; Ef 1:6; Ef 2:4; Ef 5:2; Ef 5:25; Ef 5:28; Ef 5:33; Ef 6:24; Kol 3:12; Kol 3:19; 1Tes 1:4; 1Tes 4:9; 2Tes 2:13; 2Tes 2:16; 2Tm 4:8; 2Tm 4:10; Hbr 1:9; Hbr 12:6; Jk 1:12; Jk 2:5; Jk 2:8; 1P 1:8; 1P 1:22; 1P 2:17; 1P 3:10; 2P 2:15; 1J 2:10; 1J 2:15; 1J 3:10; 1J 3:11; 1J 3:14; 1J 3:18; 1J 3:23; 1J 4:7; 1J 4:8; 1J 4:10; 1J 4:11; 1J 4:12; 1J 4:19; 1J 4:20; 1J 4:21; 1J 5:1; 1J 5:2; 2J 1:1; 2J 1:5; 3J 1:1; Ap 1:5; Ap 3:9; Ap 12:11; Ap 20:9
G26	G26 ἀγάπη [agapē]; rzeczownik	miłość					
G27	G27 ἀγαπητός [agapētos]; przymiotnik	umiłowany, drogi	mile widziany	pożądany			
G28	G28 Ἄγαρ [Agar]; rzeczownik	Hagar, konkubina Abrahama					
G29	G29 ἀγγαρεύω [angareuō]; czasownik	zmusić (kogoś do służby)					
G30	G30 ἀγγεῖον [angeion]; rzeczownik	naczynie	bukłak, zbiornik	zagłębienie, wklęsłość			
G31	G31 ἀγγελία [angelia]; rzeczownik	wieść, wiadomość, orędzie, poselstwo	ogłoszenie, zapowiedź				
G32	G32 ἄγγελος [angelos]; rzeczownik	anioł	zwiastun, posłaniec, goniec				
G33	G33 ἄγε [age]; czasownik	no dalej! 	naprzód!				
G34	G34 ἀγέλη [agelē]; rzeczownik	trzoda, stado, gromada					
G35	G35 ἀγενεαλόγητος [agenealogētos]; przymiotnik	bez rodowodu, bez przodków					
G36	G36 ἀγενής [agenēs]; przymiotnik	nieznanego pochodzenia	nieurodzony	niski, podły			
G37	G37 ἁγιάζω [hagiadzō]; czasownik	uświęcić					
G38	G38 ἁγιασμός [hagiasmos]; rzeczownik	uświęcenie	poświęcenie				
G39	G39 ἅγιον [hagion]; przymiotnik	świątynia					
G40	G40 ἅγιος [hagios]; przymiotnik	święty	poświęcony	świątobliwy, czysty			
G41	G41 ἁγιότης [hagiotēs]; rzeczownik	świętość					
G42	G42 ἁγιωσύνη [hagiōsynē]; rzeczownik	świętość					
G43	G43 ἀγκάλη [ankalē]; rzeczownik	zgięte ramię					
G44	G44 ἄγκιστρον [ankistron]; rzeczownik	haczyk (do wędki lub wrzeciona)					
G45	G45 ἄγκυρα [ankyra]; rzeczownik	kotwica	hak ogrodniczy				
G46	G46 ἄγναφος [agnafos]; przymiotnik	surowy	niegremplowany, nowy	nieoczyszczony, nieprany			
G47	G47 ἁγνεία [hagneia]; rzeczownik	czystość	dziewiczość				
G48	G48 ἁγνίζω [hagnidzō]; czasownik	oczyścić	obmyć	spalić; złożyć na ofiarę, poświęcić			
G49	G49 ἁγνισμός [hagnismos]; rzeczownik	oczyszczenie					
G50	G50 ἀγνοέω [agnoeō]; czasownik	nie rozumieć	nie znać, nie wiedzieć, nie poznać	błądzić, mylić się; źle postępować			
G51	G51 ἀγνόημα [agnoēma]; rzeczownik	niewiedza	omyłka, przeoczenie				
G52	G52 ἄγνοια [agnoia]; rzeczownik	niewiedza	nieświadomość	błędne postępowanie			
G53	G53 ἁγνός [hagnos]; przymiotnik	czysty	święty	dziewiczy			
G54	G54 ἁγνότης [hagnotēs]; rzeczownik	czystość					
G55	G55 ἁγνῶς [hagnōs]; przysłówek	nieznany	nieświadomy, niezrozumiały	ciemny; nieznający			
G56	G56 ἀγνωσία [agnōsia]; rzeczownik	nieznajomość	nieświadomość				
G57	G57 ἄγνωστος [agnōstos]; przymiotnik	nieznany	zapomniany, nieświadomy	nierozpoznawalny			
G58	G58 ἀγορά [agora]; rzeczownik	rynek	plac, miejsce	zebranie, zgromadzenie (ludu)			
G59	G59 ἀγοράζω [agoradzō]; czasownik	kupować (na rynku)	przebywać na rynku				
G60	G60 ἀγοραῖος [agoraios]; przymiotnik	próżniaczy (stąd: próżniak)	sesja sądowa	rynkowy; pospolity, wulgarny, wygadany			
G61	G61 ἄγρα [agra]; rzeczownik	połów, polowanie	zdobycz, łup				
G62	G62 ἀγράμματος [agrammatos]; przymiotnik	niepiśmienny	niewykształcony	nieumiejący wymawiać artykułowanych dzwięków			
G63	G63 ἀγραυλέω [agrauleō]; czasownik	przebywać na polu	przebywać pod gołym niebem				
G64	G64 ἀγρεύω [agreuō]; czasownik	schwytać	wziąć, zdjąć				
G65	G65 ἀγριέλαιος [agrielaios]; rzeczownik	dzikie drzewo oliwne	z dzikiego drzewa oliwnego				
G66	G66 ἄγριος [agrios]; przymiotnik	dziki 	żyjący na swobodzie, żyjący w dzikim stanie	gwałtowny, okrutny, złośliwy			
G67	G67 Ἀγρίππας [Agrippas]; rzeczownik	Agryppa - chodzi o Heroda Agryppę II, syna Heroda Agryppy I					
G68	G68 ἀγρός [agros]; rzeczownik	osada	pole	posiadłość wiejska			
G69	G69 ἀγρυπνέω [agrypneō]; czasownik	czuwać w nocy	być bezsennym				
G70	G70 ἀγρυπνία [agrypnia]; rzeczownik	nocne czuwanie	czas czuwania	bezsenność			
G71	G71 ἄγω [agō]; czasownik	prowadzić, sprowadzić, przyprowadzić	iść	stawiać (przed sądem); roznosić, rozpowszechniać; dowodzić			
G72	G72 ἀγωγή [agōgē]; rzeczownik	przyprowadzenie, sprowadzenie, prowadzenie	stawienie, zabieranie, uprowadzanie	więzienie; ruch, marsz			
G73	G73 ἀγών [agōn]; rzeczownik	zebranie, zgromadzenie	walka, spór	mowa (publicznie wygłoszona)			
G74	G74 ἀγωνία [agōnia]; rzeczownik	walka	zawody	ćwiczenia gimnastyczne; trwoga, wzburzenie, niepokój			
G75	G75 ἀγωνίζομαι [agōnidzomai]; czasownik	walczyć	współzawodniczyć (o nagrodę)	walczyć [przed sądem] (w znaczeniu: występować przed sądem)			
G76	G76 Ἀδάμ [Adam]; rzeczownik	Adam - pierwszy człowiek					
G77	G77 ἀδάπανος [adapanos]; przymiotnik	nie ponoszący kosztów	tani				
G78	G78 Ἀδδί [Addi]; rzeczownik	Addi - przodek Jezusa					
G79	G79 ἀδελφή [adelfē]; rzeczownik	siostra	krewna				
G80	G80 ἀδελφός [adelfos]; rzeczownik	brat	krewny	rodak			
G81	G81 ἀδελφότης [adelfotēs]; rzeczownik	wszyscy bracia	braterstwo				
G82	G82 ἄδηλος [adēlos]; przymiotnik	niewidoczny, niewidzialny	nieznany	ukryty, tajny			
G83	G83 ἀδηλότης [adēlotēs]; rzeczownik	niepewność	niejasność				
G84	G84 ἀδήλως [adēlōs]; przysłówek	niepewnie					
G85	G85 ἀδημονέω [adēmoneō]; czasownik	być niespokojnym	być zaniepokojonym, zmieszanym				
G86	G86 ᾅδης [hadēs]; rzeczownik	hades	podziemie, świat zmarłych	grób, śmierć			
G87	G87 ἀδιάκριτος [adiakritos]; przymiotnik	bezstronny, nie czyniący różnicy	nie dający się rozróżnić	niezrozumiały, niewyraźny			
G88	G88 ἀδιάλειπτος [adialeiptos]; przymiotnik	nieustanny	nieprzerwany				
G89	G89 ἀδιαλείπτως [adialeiptōs]; przysłówek	nieustannie	nieprzerwanie				
G90	G90 ἀδιαφθορία [adiafthoria]; rzeczownik	brak zepsucia	czystość				
G91	G91 ἀδικέω [adikeō]; czasownik	czynić krzywdę	szkodzić				
G92	G92 ἀδίκημα [adikēma]; rzeczownik	zły czyn	przestępstwo	skrzywdzenie			
G93	G93 ἀδικία [adikia]; rzeczownik	niesprawiedliwość	nieprawość				
G94	G94 ἄδικος [adikos]; przymiotnik	niespawiedliwy	nieprawy				
G95	G95 ἀδίκως [adikōs]; przysłówek	niesprawiedliwie	niesłusznie	wbrew temu, co sprawiedliwe			
G96	G96 ἀδόκιμος [adokimos]; przymiotnik	niezdatny [do przyjęcia]	niewypróbowany	bezwartościowy			
G97	G97 ἄδολος [adolos]; przymiotnik	niepodstępny	niesfałszowany				
G98	G98 Ἀδραμυττηνός [Adramyttēnos]; przymiotnik	pochodzący z Adramyttion					
G99	G99 Ἀδρίας [Adrias]; rzeczownik	Adriatyk - morze					
G100	G100 ἁδρότης [hadrotēs]; rzeczownik	obfitość					
G101	G101 ἀδυνατέω [adynateō]; czasownik	być niemożliwym					
G102	G102 ἀδύνατος [adynatos]; przymiotnik	niemożliwy	niemocny, stąd: bezwładny (np. bezwładne nogi)				
G103	G103 ᾄδω [adō]; czasownik	śpiewać					
G104	G104 ἀεί [aei]; przysłówek	zawsze	stale				
G105	G105 ἀετός [aetos]; rzeczownik	orzeł	sęp				
G106	G106 ἄζυμος [adzymos]; przymiotnik	przaśny	bez zaczynu				
G107	G107 Ἀζώρ [Adzōr]; rzeczownik	Azor - przodek Jezusa					
G108	G108 Ἄζωτος [Adzōtos]; rzeczownik	Azot - miasto nad Morzem Śródziemnym					
G109	G109 ἀήρ [aēr]; rzeczownik	powietrze					
G110	G110 ἀθανασία [athanasia]; rzeczownik	nieśmiertelność					
G111	G111 ἀθέμιτος [athemitos]; przymiotnik	niedozwolony	sprzeczny z prawem	niegodziwy			
G112	G112 ἄθεος [atheos]; przymiotnik	będący bez Boga	bezbożny				
G113	G113 ἄθεσμος [athesmos]; przymiotnik	rozpustny	nieobyczajny				
G114	G114 ἀθετέω [atheteō]; czasownik	odrzucać	czynić niewykonalnym	odmawiać			
G115	G115 ἀθέτησις [athetēsis]; rzeczownik	odrzucenie	czynienie niewykonalnym	odmówienie; zgładzenie (grzechów)			
G116	G116 Ἀθῆναι [Athēnai]; rzeczownik	Ateny - stolica Attyki					
G117	G117 Ἀθηναῖος [Athēnaios]; przymiotnik	ateński, stąd: Ateńczyk - mieszkaniec Aten					
G118	G118 ἀθλέω [athleō]; czasownik	walczyć jako atleta, walczyć jak atleta					
G119	G119 ἄθλησις [athlēsis]; rzeczownik	atletyczna walka	zapasy				
G120	G120 ἀθυμέω [athymeō]; czasownik	zniechęcić się	tracić ducha				
G121	G121 ἄθωος [athōos]; przymiotnik	niewinny	nie zasługujący na karę				
G122	G122 αἴγεος [aigeios]; przymiotnik	kozi					
G123	G123 αἰγιαλός [aigialos]; rzeczownik	brzeg	plaża				
G124	G124 Αἰγύπτιος [Aigyptios]; przymiotnik	egipski, stąd: Egipcjanin - mieszkaniec Egiptu					
G125	G125 Αἴγυπτος [Aigyptos]; rzeczownik	Egipt					
G126	G126 ἀΐδιος [aïdios]; przymiotnik	wieczny					
G127	G127 αἰδώς [aidōs]; rzeczownik	szacunek	godność				
G128	G128 Αἰθίοψ [Aithiops]; rzeczownik	Etiop - dostojnik królowej etiopskiej, Kandaki					
G129	G129 αἷμα [haima]; rzeczownik	krew					
G130	G130 αἱματεκχυσία [haimatekchysia]; rzeczownik	wylanie krwi					
G131	G131 αἱμορῥέω [haimorroeō]; czasownik	być chorym na upływ krwi					
G132	G132 Αἰνέας [Aineas]; rzeczownik	Eneasz - paralityk, uzdrowiony za wstawiennictwem Piotra					
G133	G133 αἴνεσις [ainesis]; rzeczownik	uwielbienie					
G134	G134 αἰνέω [aineō]; czasownik	wielbić					
G135	G135 αἴνιγμα [ainigma]; rzeczownik	zagadka					
G136	G136 αἶνος [ainos]; rzeczownik	uwielbienie	chwała				
G137	G137 Αἰνών [Ainōn]; rzeczownik	Ainon - miejsce chrztu, dokonywanego przez Jana Chrzciciela					
G138	G138 αἱρέομαι [haireō]; czasownik	wybrać	woleć				
G139	G139 αἵρεσις [hairesis]; rzeczownik	odłam	rozłam	odszczepieństwo; stronnictwo			
G140	G140 αἱρετίζω [hairetidzō]; czasownik	wybierać					
G141	G141 αἱρετικός [hairetikos]; przymiotnik	odszczepieńczy, stąd: (człowiek) wywołujący rozłam					
G142	G142 αἴρω [airō]; czasownik	brać	podnosić, wynosić, unosić	usuwać, stąd: zrywać			
G143	G143 αἰσθάνομαι [aisthanomai]; czasownik	rozumieć	spostrzegać	pojmować			
G144	G144 αἴσθησις [aisthēsis]; rzeczownik	rozumienie	spostrzeżenie	pojęcie			
G145	G145 αἰσθητήριον [aisthētērion]; rzeczownik	zdolność rozumu	zmysł (dostrzegania dobra i zła)				
G146	G146 αἰσχροκερδής [aischrokerdēs]; przymiotnik	szukający brudnego zysku					
G147	G147 αἰσχροκερδῶς [aischrokerdōs]; przysłówek	szukając brudnego zysku, stąd: dla brudnego zysku					
G148	G148 αἰσχρολογία [aischrologia]; rzeczownik	nieprzyzwoita mowa	hańbiąca mowa	przynosząca wstyd mowa			
G149	G149 αἰσχρόν [aischron]; przymiotnik	nieprzyzwoity	hańbiący, haniebny	przynoszący wstyd			
G150	G150 αἰσχρός [aischros]; przymiotnik	nieprzyzwoity	hańbiący, haniebny	przynoszący wstyd			
G151	G151 αἰσχρότης [aischrotēs]; rzeczownik	nieprzyzwoitość	haniebność	sprośność			
G152	G152 αἰσχύνη [aischynē]; rzeczownik	wstyd	hańba				
G153	G153 αἰσχύνομαι [aischynō]; czasownik	wstydzić się	doznawać zawstydzenia				
G154	G154 αἰτέω [aiteō]; czasownik	prosić	żądać	domagać się			
G155	G155 αἴτημα [aitēma]; rzeczownik	prośba	żądanie				
G156	G156 αἰτία [aitia]; rzeczownik	przyczyna, powód	wina	"zagadnienie (sprawa); 
oskarżenie"			
G157	G157 αἰτίαμα [aitiama]; rzeczownik	oskarżenie					
G158	G158 αἴτιον [aition]; przymiotnik	wina	przyczyna				
G159	G159 αἴτιος [aitios]; przymiotnik	winny, odpowiedzialny (stąd: sprawca, winowajca, oskarżony)					
G160	G160 αἰφνίδιος [aifnidios]; przymiotnik	nagły					
G161	G161 αἰχμαλωσία [aichmalōsia]; rzeczownik	niewola	pojmanie				
G162	G162 αἰχμαλωτεύω [aichmalōteuō]; czasownik	wziąć do niewoli	pojmać				
G163	G163 αἰχμαλωτίζω [aichmalōtidzō]; czasownik	wziąć do niewoli	pojmać				
G164	G164 αἰχμαλωτός [aichmalōtos]; rzeczownik	jeniec wojenny	pojmany (na wojnie)				
G165	G165 αἰών [aiōn]; rzeczownik	doczesność	wieczność	wiek; pradawna przeszłość			
G166	G166 αἰώνιος [aiōnios]; przymiotnik	wieczny					
G167	G167 ἀκαθαρσία [akatharsia]; rzeczownik	nieczystość					
G168	G168 ἀκαθάρτης [akathartēs]; rzeczownik	nieczystość					
G169	G169 ἀκάθαρτος [akathartos]; przymiotnik	nieczysty					
G170	G170 ἀκαιρέομαι [akaireomai]; czasownik	nie mieć sposobności					
G171	G171 ἀκαίρως [akairōs]; przysłówek	nie w porę					
G172	G172 ἄκακος [akakos]; przymiotnik	nie znający zła					
G173	G173 ἄκανθα [akantha]; rzeczownik	cierń					
G174	G174 ἀκάνθινος [akanthinos]; przymiotnik	cierniowy					
G175	G175 ἄκαρπος [akarpos]; przymiotnik	bezowocny	nie wydający owocu				
G176	G176 ἀκατάγνωστος [akatagnōstos]; przymiotnik	będący bez zarzutu					
G177	G177 ἀκατακάλυπτος [akatakalyptos]; przymiotnik	nie zakryty					
G178	G178 ἀκατάκριτος [akatakritos]; przymiotnik	nieosądzony					
G179	G179 ἀκατάλυτος [akatalytos]; przymiotnik	niezniszczalny					
G180	G180 ἀκατάπαυστος [akatapaustos]; przymiotnik	nieprzerwany					
G181	G181 ἀκαταστασία [akatastasia]; rzeczownik	przewrót					
G182	G182 ἀκατάστατος [akatastatos]; przymiotnik	nieuporządkowany	niestały	zdolny do szerzenia zamętu			
G183	G183 ἀκατάσχετος [akataschetos]; przymiotnik	nieopanowany, nie do opanowania					
G184	G184 Ἀκελδαμά [Akeldama]; rzeczownik	Hakeldamach - pole, nabyte przez Judasza					
G185	G185 ἀκέραιος [akeraios]; przymiotnik	niezmieszany (stąd: niezłożony, prosty, czysty)					
G186	G186 ἀκλινής [aklinēs]; przymiotnik	niezłomny	niezachwiany				
G187	G187 ἀκμάζω [akmadzō]; czasownik	być w pełni dojrzałym					
G188	G188 ἀκμήν [akmēn]; rzeczownik	akurat	nadal				
G189	G189 ἀκοή [akoē]; rzeczownik	słuchanie	ucho, słuch	wieść, relacja, doniesienie			
G190	G190 ἀκολουθέω [akolutheō]; czasownik	iść (za kimś)	towarzyszyć (komuś)				
G191	G191 ἀκούω [akuō]; czasownik	słyszeć	słuchać	wysłuchiwać, przesłuchiwać			
G192	G192 ἀκρασία [akrasia]; rzeczownik	nieopanowanie					
G193	G193 ἀκράτης [akratēs]; przymiotnik	nieopanowany					
G194	G194 ἄκρατος [akratos]; przymiotnik	niezmieszany (stąd: czysty)					
G195	G195 ἀκρίβεια [akribeia]; rzeczownik	dokładność	ścisłość				
G196	G196 ἀκριβέστατος [akribēs]; przymiotnik	najdokładniejszy					
G197	G197 ἀκριβέστερον [akribesteron]; przysłówek	dokładniej					
G198	G198 ἀκριβόω [akriboō]; czasownik	dokładnie się dowiedzieć	dokładnie wybadać, zbadać				
G199	G199 ἀκριβώς [akribōs]; przysłówek	dokładnie	ściśle, skrupulatnie				
G200	G200 ἀκρίς [akris]; rzeczownik	szarańcza					
G201	G201 ἀκροατήριον [akroatērion]; rzeczownik	miejsce przesłuchań	sala audytoryjna				
G202	G202 ἀκροατής [akroatēs]; rzeczownik	słuchacz					
G203	G203 ἀκροβυστία [akrobystia]; rzeczownik	nieobrzezanie	nieobrzezani	napletek			
G204	G204 ἀκρογωνιαῖος [akrogōniaios]; przymiotnik	fundamentowy kamień narożny (tzn. leżący na samym rogu fundamentów)					
G205	G205 ἀκροθίνιον [akrothinion]; rzeczownik	coś, co znajduje się na samym szczycie stosu (stąd: najlepsze ze stosu)	najlepszy łup				
G206	G206 ἄκρον [akron]; rzeczownik	koniec	czubek				
G207	G207 Ἀκύλας [Akylas]; rzeczownik	Akwila - Żyd z Pontu, mąż Pryscy i przyjaciel apostoła Pawła					
G208	G208 ἀκυρόω [akyroō]; czasownik	unieważniać	anulować				
G209	G209 ἀκωλύτως [akōlytōs]; przysłówek	bez przeszkód					
G210	G210 ἄκων [akōn]; przymiotnik	czyniący coś wbrew własnej woli	niechętny				
G211	G211 ἀλάβαστρον [alabastron]; rzeczownik	flakonik alabastrowy					
G212	G212 ἀλαζονεία [aladzoneia]; rzeczownik	przechwalanie się, samochwalstwo					
G213	G213 ἀλαζών [aladzōn]; rzeczownik	samochwała, samochwalca					
G214	G214 ἀλαλάζω [alaladzō]; czasownik	dosłownie: głośno krzyczeć alala (stąd: głośno lamentować)	głośno brzmieć				
G215	G215 ἀλάλητος [alalētos]; przymiotnik	niewyrażalny					
G216	G216 ἄλαλος [alalos]; przymiotnik	niemy					
G217	G217 ἅλας [halas]; rzeczownik	sól					
G218	G218 αλείφω [aleifō]; czasownik	namaszczać					
G219	G219 ἀλεκτοροφωνία [alektorofōnia]; rzeczownik	pianie koguta					
G220	G220 ἀλέκτωρ [alektōr]; rzeczownik	kogut					
G221	G221 Ἀλεξανδρεύς [Alexandreus]; rzeczownik	mieszkaniec Aleksandrii (aleksandryjczyk)					
G222	G222 Ἀλεξανδρίνος [Alexandrinos]; przymiotnik	aleksandryjski					
G223	G223 Ἀλέξανδρος [Alexandros]; rzeczownik	Aleksander - cztery różne osoby w NT noszą to imię					
G224	G224 ἄλευρον [aleuron]; rzeczownik	mąka pszenna					
G225	G225 ἀλήθεια [alētheia]; rzeczownik	prawda 	naprawdę				
G226	G226 ἀληθεύω [alētheuō]; czasownik	mówić prawdę	być szczerym				
G227	G227 ἀληθής [alēthēs]; przymiotnik	prawdomówny	prawdziwy	prawda 			
